Public Speaking Event,Year,Size
Proposal,2005,30
Presentation,2008,100
Presentation,2008,200
Presentation,2008,70
Presentation,2008,50
Presentation,2009,150
Presentation,2009,70
Conference,2010,150
Speech Contest,2011,50
Speech Contest,2012,50
Speech Contest,2012,250
Speech Contest,2013,50
Speech Contest,2013,250
Wedding,2013,450
Speech Contest,2014,50
Speech Contest,2014,250
Wedding,2021,30
Wedding,2022,50
Conference,2024,50
